player_name,dg_id,tour_l20,field_this_week,l5_starts,true_sg_l20,vs_baseline_l20
"Munoz, Sebastian",20770,liv,alt,liv-adelaide-T8_liv-hong kong-T16_liv-singapore-T17_liv-south africa-37_liv-mexico city-T25,0.27,-0.23
"Johnson, Zach",6986,champ,-,champ-cologuard classic-T3_champ-hoag classic newport beach-T2_major-masters tournament-CUT_champ-senior pga championship-T8_champ-mitsubishi electric classic-3,0.27,0.5
"Kaneko, Kota",28268,euro,euro,euro-hero indian open-T24_asa-international series japan-T12_jpn-token homemate cup-CUT_euro-volvo china open-T19_euro-turkish airlines open-T9,0.27,0.54
"James, Ben",29827,am,-,am-southern highlands collegiate-T5_am-the hayt-T4_am-pauma valley invitational presented by heads up-T5_am-lewis chitengwa memorial-T4_am-2026 acc men's golf championship  stroke play   -T5,0.26,0.16
"Fisk, Steven",26657,pga,opp,pga-the players championship-T62_pga-valspar championship-CUT_pga-texas children's houston open-T48_pga-valero texas open-T54_pga-rbc heritage-T12,0.25,0.17
"Kim, S.H.",21688,pga,-,pga-valspar championship-T7_pga-texas children's houston open-CUT_pga-valero texas open-T21_kor-the 21st db insurance promy open-T13_asa|kor-the 45th gs caltex maekyung open-T6,0.25,0.29
"Hodges, Lee",25157,pga,opp,pga-the players championship-T59_pga-valspar championship-T18_pga-texas children's houston open-T65_pga-valero texas open-CUT_pga-zurich classic of new orleans-T24,0.24,0.18
"Schaper, Jayden",26991,euro,euro,euro-bapco energies bahrain championship-T52_euro-qatar masters-T9_euro-investec south african open championship-T29_euro-joburg open-T15_euro-turkish airlines open-CUT,0.22,-0.57
"Bramlett, Joseph",14698,kft,-,kft-119 visa argentina open presented by macro-CUT_kft-astara chile classic presented by scotiabank-T44_kft-club car championship at the landings golf  athletic club-6_kft-lecom suncoast classic-CUT_kft-tulum championship at pga riviera maya-T4,0.2,0.54
"McGreevy, Max",23505,pga,opp,pga-the players championship-T50_pga-valspar championship-CUT_pga-texas children's houston open-T19_pga-valero texas open-CUT_pga-zurich classic of new orleans-T32,0.2,-0.2
"Blair, Zac",17639,kft,opp,pga-valspar championship-CUT_kft-club car championship at the landings golf  athletic club-T39_kft-lecom suncoast classic-T19_kft-tulum championship at pga riviera maya-T13_pga-zurich classic of new orleans-CUT,0.2,0.35
"Ghim, Doug",24550,pga,opp,pga-puerto rico open-T26_pga-valspar championship-T40_pga-texas children's houston open-CUT_pga-valero texas open-T30_pga-zurich classic of new orleans-T6,0.19,0.07
"Perez, Victor",20730,liv,alt,liv-adelaide-T27_liv-hong kong-T16_liv-singapore-T35_liv-south africa-T12_liv-mexico city-T17,0.17,0
"Semikawa, Taiga",19681,jpn,-,jpn-casio world open golf tournament-T5_jpn-golf nippon series jt cup-6_anz|jpn-isps handa japanaustralasia championship-T15_asa-international series japan-T7_jpn-maezawa cup-T11,0.15,0.57
"Ventura, Kris",15651,pga,opp,pga-puerto rico open-CUT_pga-valspar championship-CUT_pga-texas children's houston open-CUT_pga-valero texas open-CUT_pga-zurich classic of new orleans-T2,0.14,-0.03
"Hughes, Mackenzie",15556,pga,pga,pga-the players championship-CUT_pga-valspar championship-T55_pga-texas children's houston open-CUT_pga-valero texas open-CUT_pga-zurich classic of new orleans-CUT,0.13,0.12
"Couvra, Martin",27811,euro,euro,euro-joburg open-CUT_euro-hainan classic presented by maextro-T9_euro-hero indian open-T20_pga-zurich classic of new orleans-T20_euro-turkish airlines open-T43,0.11,0.35
"Ding, Wenyi",26193,euro,euro,euro-investec south african open championship-T29_euro-hainan classic presented by maextro-T14_asa-international series japan-T53_euro-volvo china open-T25_euro-turkish airlines open-T13,0.1,0.36
"Kirk, Chris",12423,pga,-,pga-arnold palmer invitational presented by mastercard-T47_pga-the players championship-T27_pga-texas children's houston open-T51_pga-valero texas open-T36_pga-zurich classic of new orleans-CUT,0.08,-0.4
"Bradbury, Dan",29971,euro,euro,euro-investec south african open championship-CUT_euro-joburg open-1_euro-hainan classic presented by maextro-T17_euro-hero indian open-T59_euro-turkish airlines open-CUT,0.07,0.31
"Ford, David",31343,pga,-,pga-puerto rico open-T16_pga-the players championship-CUT_pga-valspar championship-T46_pga-texas children's houston open-CUT_pga-valero texas open-T59,0.03,0.39
"Kim, Tom",24766,pga,opp,pga-cognizant classic in the palm beaches-59_pga-valspar championship-T18_pga-texas children's houston open-T56_pga-valero texas open-CUT_pga-zurich classic of new orleans-CUT,0.03,0.01
"Kimsey, Nathan",18027,euro,euro,euro-joburg open-T12_euro-hainan classic presented by maextro-CUT_euro-hero indian open-CUT_euro-volvo china open-T6_euro-turkish airlines open-T29,0.03,0.5
"McKibbin, Tom",22322,liv,alt,liv-singapore-T21_liv-south africa-T24_major-masters tournament-CUT_liv-mexico city-T5_euro-turkish airlines open-CUT,0.03,-0.34
