player_name,dg_id,tour_l20,field_this_week,l5_starts,true_sg_l20,vs_baseline_l20
"Pieters, Thomas",13944,liv,alt,liv-adelaide-T27_liv-hong kong-3_liv-singapore-T6_liv-south africa-T38_liv-mexico city-T46,0.02,-0.34
"Coussaud, Ugo",20727,euro,euro,euro-investec south african open championship-T73_euro-joburg open-CUT_euro-hainan classic presented by maextro-T17_euro-hero indian open-T3_euro-turkish airlines open-T9,0.02,0.37
"Lebioda, Hank",21943,pga,opp,pga-puerto rico open-T61_pga-valspar championship-T14_pga-texas children's houston open-CUT_pga-valero texas open-T54_pga-zurich classic of new orleans-T6,0,0.2
"Bezuidenhout, Christiaan",18103,pga,opp,pga-the players championship-CUT_pga-valspar championship-T30_pga-texas children's houston open-T51_pga-valero texas open-T39_pga-zurich classic of new orleans-T17,0,-0.72
"Hossler, Beau",15470,pga,opp,pga-puerto rico open-T37_pga-valspar championship-CUT_pga-texas children's houston open-T21_pga-valero texas open-T49_pga-zurich classic of new orleans-CUT,0,0.01
"Potgieter, Aldrich",27900,pga,pga,pga-the players championship-CUT_pga-texas children's houston open-T21_major-masters tournament-CUT_pga-rbc heritage-T25_pga-cadillac championship-T14,0,0.08
"Castillo, Ricky",27819,pga,pga,pga-the players championship-T70_pga-valspar championship-T46_pga-texas children's houston open-T44_pga-rbc heritage-T60_pga-cadillac championship-T55,-0.02,-0.39
"Gooch, Talor",18580,liv,alt,liv-adelaide-T17_liv-hong kong-T18_liv-singapore-T10_liv-south africa-T24_liv-mexico city-T43,-0.03,-0.36
"Poston, J.T.",21554,pga,pga,pga-the players championship-T50_pga-texas children's houston open-CUT_pga-valero texas open-T21_pga-rbc heritage-T60_pga-cadillac championship-T49,-0.03,-0.66
"Smotherman, Austin",22985,pga,pga,pga-valspar championship-CUT_pga-valero texas open-T36_pga-rbc heritage-T74_pga-zurich classic of new orleans-CUT_pga-cadillac championship-T60,-0.03,-0.16
"Rodgers, Patrick",16283,pga,pga,pga-valspar championship-T40_pga-texas children's houston open-CUT_pga-valero texas open-CUT_pga-rbc heritage-T16_pga-cadillac championship-T65,-0.03,-0.28
"Roy, Kevin",18424,pga,opp,pga-the players championship-T59_pga-valspar championship-73_pga-texas children's houston open-T65_pga-valero texas open-T30_pga-zurich classic of new orleans-T32,-0.04,-0.33
"Penge, Marco",22465,pga,opp,pga-texas children's houston open-CUT_pga-valero texas open-T21_major-masters tournament-T49_pga-rbc heritage-T77_pga-zurich classic of new orleans-T30,-0.04,-0.6
"Dou, Zecheng",16757,pga,opp,pga-the players championship-CUT_pga-valspar championship-CUT_pga-texas children's houston open-T21_pga-valero texas open-CUT_pga-zurich classic of new orleans-CUT,-0.05,-0.02
"Laporta, Francesco",14987,euro,euro,euro-magical kenya open presented by absa-4_euro-investec south african open championship-T2_euro-joburg open-CUT_euro-hero indian open-CUT_euro-turkish airlines open-CUT,-0.05,0.05
"Campillo, Jorge",14016,euro,euro,euro-joburg open-T18_euro-hainan classic presented by maextro-2_euro-hero indian open-T20_euro-volvo china open-CUT_euro-turkish airlines open-CUT,-0.06,0.16
"Coody, Pierceson",28309,pga,pga,pga-the players championship-CUT_pga-valspar championship-T55_pga-texas children's houston open-WD_pga-rbc heritage-T16_pga-cadillac championship-T38,-0.08,-0.68
"Smith, Cameron",15856,liv,alt,liv-hong kong-48_liv-singapore-T8_liv-south africa-T17_major-masters tournament-CUT_liv-mexico city-T39,-0.1,-0.12
"Brown, Dan",20766,pga,opp,pga-cognizant classic in the palm beaches-T40_pga-valspar championship-CUT_pga-texas children's houston open-CUT_pga-valero texas open-CUT_pga-zurich classic of new orleans-T13,-0.12,-0.35
"Hojgaard, Rasmus",23838,pga,opp,pga-puerto rico open-CUT_pga-the players championship-CUT_pga-valspar championship-T68_pga-texas children's houston open-T28_major-masters tournament-53,-0.16,-0.9
"Lipsky, David",15980,pga,pga,pga-valspar championship-2_pga-texas children's houston open-CUT_pga-rbc heritage-T71_pga-zurich classic of new orleans-T26_pga-cadillac championship-71,-0.17,-0.11
"Ryder, Sam",16715,pga,opp,pga-puerto rico open-CUT_pga-valspar championship-T64_pga-texas children's houston open-T60_pga-valero texas open-T21_pga-zurich classic of new orleans-CUT,-0.18,-0.01
"Moore, Taylor",21944,pga,opp,pga-the players championship-T50_pga-valspar championship-CUT_pga-texas children's houston open-CUT_pga-valero texas open-T39_pga-zurich classic of new orleans-T20,-0.19,-0.01
"Surratt, Caleb",30463,liv,alt,liv-hong kong-T18_liv-singapore-T35_liv-south africa-T24_liv-mexico city-T32_asa-singapore open presented by the business times-T9,-0.2,-0.02
"Greyserman, Max",23465,pga,opp,pga-the players championship-CUT_pga-texas children's houston open-CUT_major-masters tournament-CUT_pga-zurich classic of new orleans-CUT_pga-cadillac championship-T38,-0.22,-0.73
"Herbert, Lucas",17064,liv,alt,liv-hong kong-T8_liv-singapore-T17_liv-south africa-T31_liv-mexico city-T46_asa-singapore open presented by the business times-CUT,-0.23,-0.06
"Guerrier, Julien",10201,euro,euro,euro-qatar masters-T36_euro-investec south african open championship-T29_euro-joburg open-T52_euro-hero indian open-T24_euro-turkish airlines open-T53,-0.26,-0.07
"Glover, Lucas",7399,pga,pga,pga-valspar championship-CUT_pga-texas children's houston open-CUT_pga-valero texas open-WD_pga-rbc heritage-T42_pga-cadillac championship-T14,-0.3,-0.53
"Garcia, Sergio",5689,liv,alt,liv-hong kong-T8_liv-singapore-T35_liv-south africa-T17_major-masters tournament-52_liv-mexico city-T39,-0.33,-0.06
"Watson, Bubba",7334,liv,alt,liv-hong kong-T41_liv-singapore-T28_liv-south africa-T38_major-masters tournament-CUT_liv-mexico city-31,-0.35,-0.39
"Armitage, Marcus",17813,euro,euro,euro-investec south african open championship-T29_euro-joburg open-T45_euro-hainan classic presented by maextro-T3_euro-hero indian open-CUT_euro-turkish airlines open-T9,-0.36,-0.28
"Im, Sungjae",17488,pga,pga,pga-texas children's houston open-T60_major-masters tournament-46_pga-rbc heritage-T42_kor-woori financial group championship-T39_pga-cadillac championship-T65,-0.4,-0.46
"Valimaki, Sami",23816,pga,opp,pga-cognizant classic in the palm beaches-CUT_pga-the players championship-CUT_pga-valero texas open-T14_major-masters tournament-CUT_pga-rbc heritage-T55,-0.4,-0.72
"Kanaya, Takumi",19729,pga,opp,pga-the players championship-73_pga-valspar championship-T46_pga-texas children's houston open-T60_pga-valero texas open-62_pga-zurich classic of new orleans-T26,-0.43,-0.52
"Blanchet, Chandler",24956,pga,pga,pga-texas children's houston open-CUT_pga-valero texas open-CUT_pga-rbc heritage-T33_pga-zurich classic of new orleans-CUT_pga-cadillac championship-72,-0.44,-0.51
"Neergaard-Petersen, Rasmus",23841,pga,opp,pga-puerto rico open-68_pga-valspar championship-T55_pga-texas children's houston open-CUT_major-masters tournament-CUT_pga-zurich classic of new orleans-T4,-0.46,-0.87
"Dahmen, Joel",14509,pga,opp,pga-the players championship-CUT_pga-valspar championship-T64_pga-valero texas open-CUT_pga-zurich classic of new orleans-CUT_pga-cadillac championship-T62,-0.5,-0.18
"Li, Haotong",15310,pga,opp,pga-the players championship-CUT_pga-texas children's houston open-CUT_pga-valero texas open-CUT_major-masters tournament-T38_pga-zurich classic of new orleans-CUT,-0.5,-0.74
"Yu, Kevin",17881,pga,opp,pga-the players championship-CUT_pga-valspar championship-T30_pga-texas children's houston open-CUT_pga-valero texas open-7_pga-zurich classic of new orleans-CUT,-0.53,-0.9
"Tringale, Cameron",14013,liv,alt,liv-adelaide-57_liv-hong kong-T31_liv-singapore-T21_liv-south africa-T31_liv-mexico city-T10,-0.53,-0.54
"Pendrith, Taylor",17780,pga,pga,pga-valspar championship-CUT_pga-texas children's houston open-CUT_pga-rbc heritage-T71_pga-zurich classic of new orleans-CUT_pga-cadillac championship-T38,-0.56,-1.18
"Uihlein, Peter",11357,liv,alt,liv-hong kong-T31_liv-singapore-49_liv-south africa-30_liv-mexico city-T32_asa-singapore open presented by the business times-T17,-0.65,-0.18
"Power, Seamus",10104,pga,opp,pga-the players championship-T70_pga-valspar championship-T30_pga-texas children's houston open-CUT_pga-valero texas open-CUT_pga-zurich classic of new orleans-T10,-0.66,-0.68
"Finau, Tony",11676,pga,pga,pga-valspar championship-T18_pga-texas children's houston open-T39_pga-valero texas open-T49_pga-rbc heritage-82_pga-zurich classic of new orleans-CUT,-0.66,-0.65
"Smylie, Elvis",24200,liv,alt,liv-singapore-T28_liv-south africa-T44_euro-hero indian open-CUT_liv-mexico city-T35_euro-turkish airlines open-T38,-0.72,-0.7
"An, Byeong Hun",14459,liv,alt,liv-adelaide-T24_liv-hong kong-T45_liv-singapore-T42_liv-south africa-T44_liv-mexico city-T25,-0.73,-0.57
"Kuchar, Matt",6169,pga,opp,pga-cognizant classic in the palm beaches-CUT_pga-valspar championship-CUT_pga-texas children's houston open-T56_pga-valero texas open-CUT_pga-zurich classic of new orleans-CUT,-0.98,-1.08
"Echavarria, Nico",22833,pga,pga,pga-the players championship-T66_pga-texas children's houston open-CUT_major-masters tournament-CUT_pga-rbc heritage-81_pga-cadillac championship-T55,-1.1,-1.42
"Keefer, Johnny",32457,pga,opp,pga-texas children's houston open-T3_pga-valero texas open-CUT_major-masters tournament-CUT_pga-rbc heritage-T69_pga-zurich classic of new orleans-CUT,-1.13,-1.18
