player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Stout, Preston",8,4,0.075,0,25,0,-9999,-9999,-9999,-9999,-9999,0.7089759999999999
"Hatton, Tyrrell",8,0,0.002,0.066,32,32,-0.20742812500000002,0.15769062500000003,0.34241374999999996,0.3894140625,0.8895184375,0.6820906250000001
"Fitzpatrick, Alex",12,2,0.72,0,46,18,-0.2076116666666667,0.11720666666666665,0.3969522222222222,0.5666483333333334,1.0808072222222223,0.680855
"Ballester, Jose Luis",9,0,0.011,0,36,24,-0.2267283333333333,-0.12010124999999998,-0.01949166666666666,0.8922529166666666,0.75266,0.6767116666666667
"Castillo, Ricky",10,1,0.014,0,40,33,0.08008151515151513,0.16488363636363637,-0.13495818181818184,0.286080303030303,0.31600575757575755,0.6694705
"Burmester, Dean",8,0,0.002,0,31,24,0.24289083333333336,-0.20773958333333334,0.02058625,0.7201929166666666,0.5330395833333333,0.6618270967741935
"Meissner, Mac",10,0,0.001,0,34,31,0.07690612903225807,0.05431387096774195,0.3647929032258065,0.1410906451612903,0.5601974193548388,0.655555
"Vincent, Scott",6,0,0.002,0,24,24,1.078625,0.08953458333333335,-0.4108441666666667,-0.10638333333333333,-0.4276929166666666,0.65093375
"Thorbjornsen, Michael",12,0,0.198,0,43,40,-0.252765,0.365164,0.09311475,0.32404275000000005,0.7823215000000001,0.6496788372093023
"Bradley, Keegan",10,0,0.002,0,34,33,0.08867636363636362,0.37232939393939396,-0.16376999999999997,0.3704921212121212,0.5790515151515152,0.6495614705882353
"Leishman, Marc",8,0,0,0,32,24,0.4170008333333333,0.03848416666666666,0.15891875,-0.13014,0.06726291666666664,0.649148125
"Smith, Jordan",13,0,0.016,0,44,41,-0.11055926829268291,-0.09021560975609755,0.30331658536585365,0.5581363414634146,0.7712373170731708,0.6357870454545455
"Lee, Richard",9,0,0.034,0,34,24,0.6214604166666667,-0.24723708333333336,-0.15445541666666665,0.2644975,-0.137195,0.6320741176470588
"Parry, John",13,0,0.003,0,51,37,0.09641864864864869,0.09472189189189188,0.10029270270270269,0.013698918918918928,0.2087135135135135,0.6288903921568628
"Bezuidenhout, Christiaan",12,0,0.034,0,43,33,0.4465733333333333,0.34046545454545457,0.18986272727272727,-0.28580969696969694,0.2445184848484849,0.6182555813953489
"Clark, Wyndham",11,0,0.001,0,40,37,-0.24321,0.31267594594594594,0.44891243243243245,0.07759243243243243,0.8391808108108109,0.6092825000000001
"Cauley, Bud",11,0,0.004,0,41,39,-0.4661074358974359,0.33745384615384616,0.5589443589743589,0.1520697435897436,1.0484679487179487,0.6060851219512196
"Rodgers, Patrick",13,0,0.055999999999999994,0,48,45,0.3129162222222222,0.11174222222222223,0.180552,0.02549644444444445,0.31779066666666667,0.6025108333333332
"Conners, Corey",10,0,0.015,0,38,38,-0.14570342105263162,-0.0766642105263158,0.6677410526315789,0.15162842105263158,0.7427052631578948,0.5970018421052632
"Jaeger, Stephan",10,0,0.038,0,35,32,0.4172740625,0.3296646875,-0.08012374999999997,-0.1683778125,0.08116312500000003,0.58539
"Reitan, Kristoffer",12,1,0.609,0,42,41,0.1965712195121951,0.08437341463414635,-0.37905390243902437,0.6372363414634147,0.3425558536585367,0.575102380952381
